"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 00:09:32 GMT 2024","Sun Jan 14 00:09:34 GMT 2024","1979","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testNavigateToSubMenuItems","testNavigateToSubMenuItems",""
"passed","Sun Jan 14 00:10:03 GMT 2024","Sun Jan 14 00:10:08 GMT 2024","4463","Surefire suite","Surefire test","tests.TestListTest","tests.TestListTest","testTutorModeWithRandomCheckboxInDomain","testTutorModeWithRandomCheckboxInDomain",""
"passed","Sun Jan 14 00:09:35 GMT 2024","Sun Jan 14 00:09:37 GMT 2024","2013","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testNavigateToSubMenuItems","testNavigateToSubMenuItems",""
"passed","Sun Jan 14 00:09:54 GMT 2024","Sun Jan 14 00:09:56 GMT 2024","1878","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testNavigateToSubMenuItems","testNavigateToSubMenuItems",""
"passed","Sun Jan 14 00:09:47 GMT 2024","Sun Jan 14 00:09:49 GMT 2024","1858","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testNavigateToSubMenuItems","testNavigateToSubMenuItems",""
"passed","Sun Jan 14 00:09:39 GMT 2024","Sun Jan 14 00:09:41 GMT 2024","2044","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testNavigateToSubMenuItems","testNavigateToSubMenuItems",""
"passed","Sun Jan 14 00:09:50 GMT 2024","Sun Jan 14 00:09:52 GMT 2024","2060","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testNavigateToSubMenuItems","testNavigateToSubMenuItems",""
"passed","Sun Jan 14 00:09:57 GMT 2024","Sun Jan 14 00:10:02 GMT 2024","4813","Surefire suite","Surefire test","tests.TestListTest","tests.TestListTest","testTutorModeWithRandomCheckboxInChapter","testTutorModeWithRandomCheckboxInChapter",""
"passed","Sun Jan 14 00:09:43 GMT 2024","Sun Jan 14 00:09:45 GMT 2024","1996","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testNavigateToSubMenuItems","testNavigateToSubMenuItems",""
"passed","Sun Jan 14 00:09:29 GMT 2024","Sun Jan 14 00:09:31 GMT 2024","1934","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testLoginNavigation","testLoginNavigation",""
"passed","Sun Jan 14 00:10:08 GMT 2024","Sun Jan 14 00:10:09 GMT 2024","1217","Surefire suite","Surefire test","tests.GmailTest","tests.GmailTest","testExtractGmailPasswordOauth2","testExtractGmailPasswordOauth2",""
"passed","Sun Jan 14 00:09:25 GMT 2024","Sun Jan 14 00:09:27 GMT 2024","2165","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testLocators","testLocators",""
